year,species,comp_type,base
2015,301,female,1651.9085303093993
2015,301,male,1746.4144827986336
2015,301,total,3586.6322728061045
2016,301,female,3370.527253253298
2016,301,male,1768.6866682987775
2016,301,total,5919.303253738862
2017,301,female,2910.4402233223
2017,301,male,2055.5564723920807
2017,301,total,5754.915073789637
2018,301,female,3364.446181305919
2018,301,male,1869.405565940395
2018,301,total,5842.39681390988
2019,301,female,3826.608635670485
2019,301,male,2103.020311333941
2019,301,total,5893.899719608142
2020,301,female,3000.5915366155955
2020,301,male,3596.6368289521793
2020,301,total,6909.546157790139
2021,301,female,2944.801860124986
2021,301,male,1234.7799708897755
2021,301,total,3707.721276453433
2022,301,female,1888.2314673140822
2022,301,male,1884.4634624028142
2022,301,total,3795.5250999126006
2023,301,female,1827.8118616844808
2023,301,male,2414.796763304766
2023,301,total,4497.560003725404
