sim,year,species,comp_type,base
1,2016,301,female,624.7628578351762
1,2016,301,male,313.9479316911159
1,2016,301,total,1000.1424523583472
1,2018,301,female,525.0880261243959
1,2018,301,male,311.74878484963807
1,2018,301,total,974.7329806130734
1,2020,301,female,551.079595956418
1,2020,301,male,238.43166530338078
1,2020,301,total,558.719911749763
1,2022,301,female,320.23242553582696
1,2022,301,male,305.93011715876
1,2022,301,total,607.4888933277717
2,2016,301,female,411.4615499199649
2,2016,301,male,594.0422111723037
2,2016,301,total,927.684988570198
2,2018,301,female,641.7311636555395
2,2018,301,male,395.268946133878
2,2018,301,total,1456.4418300990317
2,2020,301,female,901.3088255505552
2,2020,301,male,306.9146513085084
2,2020,301,total,1152.2827685927525
2,2022,301,female,345.2137534245049
2,2022,301,male,521.9556241945403
2,2022,301,total,903.1684499609038
3,2016,301,female,370.24077926473313
3,2016,301,male,293.28332900659314
3,2016,301,total,1199.4712709318749
3,2018,301,female,907.222282126496
3,2018,301,male,470.7527241477497
3,2018,301,total,1559.9768651019367
3,2020,301,female,313.2794236162962
3,2020,301,male,358.789077148878
3,2020,301,total,606.0834751865582
3,2022,301,female,736.9770111597031
3,2022,301,male,478.3857729604347
3,2022,301,total,1232.1536110315524
4,2016,301,female,407.0703319225891
4,2016,301,male,319.7199451102263
4,2016,301,total,639.1947616607522
4,2018,301,female,577.3053607045206
4,2018,301,male,464.95123519799387
4,2018,301,total,854.4589664123544
4,2020,301,female,516.3635466998805
4,2020,301,male,441.1248698578999
4,2020,301,total,743.0251785109473
4,2022,301,female,1304.9107367344566
4,2022,301,male,455.5175480559204
4,2022,301,total,1877.061472265695
5,2016,301,female,538.3240243260445
5,2016,301,male,760.1856512041429
5,2016,301,total,979.0591991475947
5,2018,301,female,323.9134958151763
5,2018,301,male,592.7803411489955
5,2018,301,total,1025.8633136287935
5,2020,301,female,429.6725991736029
5,2020,301,male,302.3163931318159
5,2020,301,total,547.6133238037887
5,2022,301,female,582.7946707568287
5,2022,301,male,379.9243691323244
5,2022,301,total,844.7413391164424
