sim,year,species,comp_type,base
1,2015,301,female,23465.496529000717
1,2015,301,male,1596.3322063303071
1,2015,301,total,6381.364850503
1,2016,301,female,23769.34456980181
1,2016,301,male,701.8776346678532
1,2016,301,total,177935.90148029034
1,2017,301,female,2398.1740391303165
1,2017,301,male,124590.25215464222
1,2017,301,total,5193.595117421433
1,2018,301,female,4038.470991216525
1,2018,301,male,2101.9794732098762
1,2018,301,total,2945.457128606989
1,2019,301,female,2364.3536594244933
1,2019,301,male,12747.491085964533
1,2019,301,total,2727.954949324464
1,2020,301,female,11153.09254499088
1,2020,301,male,4610.879252496785
1,2020,301,total,31421.138093458172
1,2021,301,female,6070.985648710364
1,2021,301,male,3787.560610518005
1,2021,301,total,25208.467610084124
1,2022,301,female,6064.971865460288
1,2022,301,male,20543.282403677902
1,2022,301,total,3816.822591488234
1,2023,301,female,2194.7126360153297
1,2023,301,male,1871.3932405359228
1,2023,301,total,56343.1288991584
2,2015,301,female,2199.2871389946563
2,2015,301,male,2500.6697470963522
2,2015,301,total,2008.5389755159185
2,2016,301,female,12144.012926597867
2,2016,301,male,384.322387487387
2,2016,301,total,4032.2760560720203
2,2017,301,female,1903.8707098246393
2,2017,301,male,2095.833901288375
2,2017,301,total,3725.3269576209395
2,2018,301,female,7029.2138367760745
2,2018,301,male,3349.9797624705757
2,2018,301,total,41579.046591156686
2,2019,301,female,75014.47684802633
2,2019,301,male,1156.8665903572764
2,2019,301,total,37843.0442180478
2,2020,301,female,6858.357989812365
2,2020,301,male,469.0186031333736
2,2020,301,total,5339.533676672141
2,2021,301,female,4806.29273651528
2,2021,301,male,18557.902348681713
2,2021,301,total,26234.7302637056
2,2022,301,female,58750.60168067956
2,2022,301,male,5679.64300047848
2,2022,301,total,32685.327894538972
2,2023,301,female,3694.3739241834996
2,2023,301,male,412.2601327955561
2,2023,301,total,55410.012290261686
3,2015,301,female,2646.109874701192
3,2015,301,male,2336.788915432737
3,2015,301,total,17549.077891346784
3,2016,301,female,619.894967867853
3,2016,301,male,8516.058847362085
3,2016,301,total,1918.5665100775525
3,2017,301,female,5427.901469593787
3,2017,301,male,2234.513811504248
3,2017,301,total,51347.4511894966
3,2018,301,female,1347.9042655372234
3,2018,301,male,6624.451772726944
3,2018,301,total,2216.330781498082
3,2019,301,female,779.386033940252
3,2019,301,male,4127.932031818674
3,2019,301,total,1522.9161236241364
3,2020,301,female,78556.18392677583
3,2020,301,male,4574.939476074711
3,2020,301,total,22054.243366765717
3,2021,301,female,1972.881170686005
3,2021,301,male,908.2015257065108
3,2021,301,total,1469.5714114275202
3,2022,301,female,425.88903346566093
3,2022,301,male,2538.7197017154676
3,2022,301,total,767.1641272357632
3,2023,301,female,36460.57179087631
3,2023,301,male,1126.215407204817
3,2023,301,total,3138.6046117670203
4,2015,301,female,2255.6652872331365
4,2015,301,male,368.41301352845517
4,2015,301,total,3866.838345085123
4,2016,301,female,1034.12029532479
4,2016,301,male,953.1547197769228
4,2016,301,total,1225.2224908019841
4,2017,301,female,5479.618202547311
4,2017,301,male,4742.201927470616
4,2017,301,total,15204.682596041668
4,2018,301,female,3179.537101807422
4,2018,301,male,28499.62101270495
4,2018,301,total,3016.4499170357835
4,2019,301,female,1798.532950577075
4,2019,301,male,1015.6941413672655
4,2019,301,total,2022.3403298874844
4,2020,301,female,2975.7215956891364
4,2020,301,male,3757.990948609464
4,2020,301,total,9395.207332674781
4,2021,301,female,3859.416892201953
4,2021,301,male,11026.781934023524
4,2021,301,total,8363.762562989183
4,2022,301,female,15460.172596089707
4,2022,301,male,458.3899042734124
4,2022,301,total,24573.61365718888
4,2023,301,female,3039.7777994274074
4,2023,301,male,1697.1838946700075
4,2023,301,total,1023.4738500567188
5,2015,301,female,831.4138219829315
5,2015,301,male,9588.498786842847
5,2015,301,total,2700.0048846003933
5,2016,301,female,1550.3154604680406
5,2016,301,male,623.7995948265892
5,2016,301,total,961.8107471113782
5,2017,301,female,10817.650378722508
5,2017,301,male,4643.34037903677
5,2017,301,total,1100905.0382270268
5,2018,301,female,14248.055493903854
5,2018,301,male,3127.5957502200317
5,2018,301,total,5619.5759727733675
5,2019,301,female,2151.289375761229
5,2019,301,male,8050.443305597563
5,2019,301,total,25858.993059513716
5,2020,301,female,1682.679070204003
5,2020,301,male,7985.137770949296
5,2020,301,total,7260.651116123493
5,2021,301,female,23469.199163296944
5,2021,301,male,1143.2911091304234
5,2021,301,total,560751.4828917292
5,2022,301,female,3027.630679200971
5,2022,301,male,1216.7887697585234
5,2022,301,total,2512.4533593380756
5,2023,301,female,79169.76089645548
5,2023,301,male,384.4831354177098
5,2023,301,total,3522.4297010122264
